Time,Ticket,Type,Details
16:53:01,2125254970,Trade Open,SHORT 0.05 @ 4368.124 (TP2)
16:53:01,2125254936,Trade Open,SHORT 0.05 @ 4368.124 (TP2)
16:53:01,2125254919,Trade Open,SHORT 0.05 @ 4368.124 (TP1)
16:53:00,2125254877,Trade Open,SHORT 0.05 @ 4368.124 (TP1)
16:53:00,2125254856,Trade Open,SHORT 0.05 @ 4368.124 (TP1)
16:53:00,-,Signal,Conviction: 51.8% | Scaling: 5
16:53:00,-,Signal Recv,short | ID: XAUUSDm-short-1767113400 | Type: scalp
16:53:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:52:00,2125250917,Trade Open,LONG 0.03 @ 4368.481 (TP2)
16:52:00,2125250876,Trade Open,LONG 0.03 @ 4368.481 (TP1)
16:52:00,-,Signal,Conviction: 22.5% | Scaling: 2
16:52:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:51:01,2125245893,Trade Open,LONG 0.05 @ 4370.309 (TP2)
16:51:00,2125245871,Trade Open,LONG 0.05 @ 4370.309 (TP1)
16:51:00,2125245846,Trade Open,LONG 0.05 @ 4370.309 (TP1)
16:51:00,-,Signal,Conviction: 39.8% | Scaling: 3
16:51:00,-,Signal Recv,long | ID: XAUUSDm-long-1767113400 | Type: scalp
16:51:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:49:59,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:49:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:48:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
16:47:00,-,Signal Recv,long | ID: XAUUSDm-long-4323.33400-1767049200 | Type: swing
