<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.14	17:05:00	2329.920	2331.387	2329.920	2331.269	422	0	200
2024.06.14	17:10:00	2331.222	2332.058	2330.908	2331.368	406	0	200
2024.06.14	17:15:00	2331.357	2331.676	2330.328	2331.319	475	0	199
2024.06.14	17:20:00	2331.326	2333.352	2331.065	2333.272	525	0	200
2024.06.14	17:25:00	2333.232	2333.965	2332.645	2333.230	536	0	200
2024.06.14	17:30:00	2333.287	2334.249	2333.181	2334.074	390	0	199
2024.06.14	17:35:00	2334.051	2335.552	2333.850	2333.857	491	0	199
2024.06.14	17:40:00	2333.840	2333.840	2332.512	2332.748	461	0	200
2024.06.14	17:45:00	2332.704	2334.075	2332.704	2332.839	371	0	200
2024.06.14	17:50:00	2332.806	2332.980	2332.296	2332.457	338	0	200
2024.06.14	17:55:00	2332.513	2334.184	2332.439	2334.089	381	0	200
2024.06.14	18:00:00	2334.086	2334.256	2333.307	2333.881	386	0	200
2024.06.14	18:05:00	2333.879	2334.054	2333.122	2333.391	395	0	199
2024.06.14	18:10:00	2333.363	2334.016	2333.315	2333.841	330	0	200
2024.06.14	18:15:00	2333.828	2334.008	2332.185	2332.803	383	0	199
2024.06.14	18:20:00	2332.795	2334.144	2332.636	2333.849	350	0	200
2024.06.14	18:25:00	2333.851	2334.430	2333.789	2333.914	375	0	200
2024.06.14	18:30:00	2333.958	2334.075	2333.354	2333.627	354	0	200
2024.06.14	18:35:00	2333.649	2333.822	2332.859	2333.722	334	0	199
2024.06.14	18:40:00	2333.764	2333.773	2333.380	2333.494	320	0	200
2024.06.14	18:45:00	2333.482	2334.921	2333.482	2334.868	309	0	200
2024.06.14	18:50:00	2334.857	2335.085	2334.246	2334.908	298	0	200
2024.06.14	18:55:00	2334.905	2335.036	2334.461	2334.573	322	0	200
2024.06.14	19:00:00	2334.531	2334.531	2332.567	2332.755	481	0	200
2024.06.14	19:05:00	2332.751	2333.303	2332.531	2333.171	343	0	200
2024.06.14	19:10:00	2333.174	2333.334	2332.416	2332.754	328	0	200
2024.06.14	19:15:00	2332.757	2333.475	2332.376	2333.111	300	0	199
2024.06.14	19:20:00	2333.078	2333.142	2332.596	2333.106	294	0	200
2024.06.14	19:25:00	2333.093	2333.515	2332.788	2333.515	325	0	200
2024.06.14	19:30:00	2333.555	2334.086	2333.555	2333.992	314	0	199
2024.06.14	19:35:00	2333.994	2334.679	2333.994	2334.522	315	0	200
2024.06.14	19:40:00	2334.567	2335.378	2334.047	2334.081	346	0	200
2024.06.14	19:45:00	2334.031	2334.031	2332.793	2332.880	381	0	200
2024.06.14	19:50:00	2332.927	2333.254	2332.136	2332.731	342	0	200
2024.06.14	19:55:00	2332.682	2333.072	2332.236	2332.452	336	0	200
2024.06.14	20:00:00	2332.506	2332.984	2331.836	2331.950	300	0	199
2024.06.14	20:05:00	2331.961	2332.083	2331.011	2331.137	286	0	200
2024.06.14	20:10:00	2331.124	2331.545	2331.068	2331.545	192	0	200
2024.06.14	20:15:00	2331.542	2331.720	2331.188	2331.397	194	0	200
